"","p","PL BIC","Exp BIC","TPL BIC","PL expo","Exp trunc","TPL expo","TPL trunc"
"1",0.5,180952687.775685,186355707.185854,178921005.214489,2.32378393562204,0.361817259753733,1.73323987427893,0.0782488699732365
"2",0.505,614013267.185645,642560305.980899,607837907.138321,2.1785171231087,0.283385593606707,1.72219257691456,0.048240687659981
"3",0.51,980281538.580275,1043129551.15816,971269625.089183,2.06165682764916,0.222373694172942,1.69623152006098,0.0305491523237823
"4",0.52,1551858134.4573,1720308240.332,1540531472.84584,1.89210640070008,0.136707812181444,1.65497901833962,0.0119374463281589
"5",0.53,1934782456.53559,2280490515.16969,1929555393.35021,1.77376363323186,0.0787153111765915,1.77315883794072,0.00157857089578527
"6",0.535,2049189732.74768,2525439875.00267,NA,1.72898733710763,0.0565903368658829,NA,NA
"7",0.54,2100225131.55525,2750428789.71576,2097036296.75246,1.69462340297647,0.0382248462167516,1.69454280387062,0.000299125736588474
"8",0.55,1933201120.12429,3071011227.63642,1932731574.86866,1.68206718410146,0.0143673656179103,1.67946604350954,1.49011611938477e-08
"9",0.56,1319209084.88537,1889966823.30403,1319093231.83838,1.87626114453289,0.0540195270908814,1.87519702148922,1.49011611938477e-08
