"","p","PL","TPL","Exp","PL expo","Exp trunc","TPL expo","TPL trunc"
"1",0.5,191471.654781001,185162.627927902,198944.312248999,1.66996364549529,0.212333233243933,1.15328272202332,0.0507247730114909
"2",0.505,597675.224483495,581697.087072587,641460.763599119,1.64886889551383,0.179864900711857,1.23798142743955,0.0326831171608602
"3",0.51,769558.171768182,753231.928141416,855319.164238771,1.63629005178889,0.154886742783794,1.31076167754642,0.0211656286259107
"4",0.52,835690.853239177,824597.900960965,1000122.45041028,1.61235732785284,0.110958985566821,1.40702400963683,0.00858761292360048
"5",0.53,742222.558602278,739244.910376425,977262.15552912,1.61221058089737,0.0804460110581354,1.61174841522734,0.00141548587571467
"6",0.535,665905.049434023,0,934272.181321217,1.62363396938786,0.0681020599447883,0,0
"7",0.54,587040.644638385,586080.841047538,883110.20582566,1.64228632490126,0.0581370926023021,1.64217715041655,0.000412614265170414
"8",0.55,416755.259936224,416700.379041656,756570.075168008,1.7153191334497,0.0413506077544069,1.71368825433863,1.49011611938477e-08
"9",0.56,282295.770380013,0,639118.748149176,1.83041963300258,0.030116843005685,0,0
